Category: All categories

Week,Covid: (United States),corona: (United States),coronavirus: (United States),Football: (United States)
2021-12-26,36,<1,1,16
2022-01-02,36,<1,1,8
2022-01-09,30,<1,1,8
2022-01-16,30,<1,1,6
2022-01-23,16,<1,1,5
2022-01-30,11,<1,1,6
2022-02-06,9,<1,1,3
2022-02-13,8,<1,1,3
2022-02-20,6,<1,1,2
2022-02-27,6,<1,<1,2
2022-03-06,6,<1,<1,2
2022-03-13,6,<1,<1,2
2022-03-20,5,<1,<1,2
2022-03-27,5,<1,<1,2
2022-04-03,5,<1,<1,2
2022-04-10,5,<1,<1,2
2022-04-17,5,<1,<1,2
2022-04-24,5,<1,<1,3
2022-05-01,6,<1,<1,3
